PMID	DOI	Title	PMCID
		lllumination Power, Stability, and Linearity Measurements for Confocal and Widefield Microscopes V.2  : 	
31636117	10.1083/jcb.201902069	Soluble tubulin is significantly enriched at mitotic centrosomes : 	PMC6891098
34302049		Monitoring the point spread function for quality control of confocal microscopes : 	PMC8302645
37563253	10.1038/s41556-023-01198-6	Malonyl-CoA is a conserved endogenous ATP-competitive mTORC1 inhibitor : 	
37384530	10.1016/j.celrep.2023.112722	Dietary restriction mitigates the age-associated decline in mouse B cell receptor repertoire diversity : 	PMC10391628
37500622	10.1038/s41467-023-40245-6	Increasing number of long-lived ancestors marks a decade of healthspan extension and healthier metabolomics profiles : 	PMC10374564
37479494	10.1136/ard-2023-224129	Ablation of integrin-mediated cell–collagen communication alleviates fibrosis : 	
37439264	10.15252/embj.2022113256	Ribonucleotide synthesis byNME6fuels mitochondrial gene expression : 	
37419738	10.1016/j.tcb.2023.06.002	Ferroptosis in mitochondrial cardiomyopathy : 	
37394344	10.1016/j.tibs.2023.06.005	A chemical biology/modular antibody platform for ADP-ribosylation signaling : 	
20815617		Microbial population dynamics by digital in-line holographic microscopy  : 	PMC2966488
21731697	10.1371/journal.pone.0021303	Quantitation of Cellular Dynamics in Growing Arabidopsis Roots with Light Sheet Microscopy : 	PMC3120859
	10.1103/PhysRevX.5.041014	Strongly Deterministic Population Dynamics in Closed Microbial Communities : 	
31292259	10.1073/pnas.1901055116	Homeorhesis and ecological succession quantified in synthetic microbial ecosystems : 	PMC6660734
32900305	10.1098/rsif.2020.0350	Bioluminescence dynamics in single germinating bacterial spores reveal metabolic heterogeneity : 	PMC7536063
33753503	10.1073/pnas.2023322118	Nongenetic individuality, changeability, and inheritance in bacterial behavior : 	PMC8020789
37347368	10.1007/s11103-023-01364-2	The regulation of sulfolipids under sulfur starvation : 	PMC10352420
37349299	10.1038/s41467-023-39393-6	Mitochondrial aconitase suppresses immunity by modulating oxaloacetate and the mitochondrial unfolded protein response : 	PMC10287738
37344632	10.1038/s41580-023-00630-x	Deciphering ADP-ribosylation signalling : 	
37340054	10.1038/s41598-023-37029-9	Sex-specific effects of Cre expression in Syn1Cre mice : 	PMC10281999
	10.18632/aging.203859	Meeting Report: Aging Research and Drug Discovery : 	
34576140	10.3390/ijms22189973	Functional Changes of T-Cell Subsets with Age and CMV Infection : 	PMC8465008
37321215	10.1016/j.devcel.2023.05.015	Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate : 	
37321846		Time-resolved proteomic analyses of senescence highlight metabolic rewiring of mitochondria  : 	PMC10272782
37308278	10.26508/lsa.202201739	Toxicity ofC9orf72-associated dipeptide repeat peptides is modified by commonly used protein tags : 	PMC10262077
37086724	10.1016/j.celrep.2023.112383	Microglia enable cross-modal plasticity by removing inhibitory synapses : 	
37258764	10.1007/978-1-0716-3247-5_14	13C Isotope Labeling and Mass Spectrometric Isotope Enrichment Analysis in Acute Brain Slices : 	
37212043	10.15252/embr.202256574	mTORC1 activity negatively regulates human hair follicle growth and pigmentation : 	PMC10328083
37222020	10.1111/acel.13888	Unbiased evaluation of rapamycin's specificity as an mTOR inhibitor : 	PMC10410055
37014702	10.1172/jci.insight.156397	Maternal low-calorie sweetener consumption rewires hypothalamic melanocortin circuits via a gut microbial co-metabolite pathway : 	PMC10322686
37159021	10.1083/jcb.202210019	A two-step mitochondrial import pathway couples the disulfide relay with matrix complex I biogenesis : 	PMC10174193
37160881	10.1038/s41467-023-37706-3	Artificial Hsp104-mediated systems for re-localizing protein aggregates : 	PMC10169802
37207805	10.1016/j.biocel.2023.106431	Mitochondria are midfield players in steroid synthesis : 	
26519530	10.4049/jimmunol.1501237	Myeloid cell-restricted insulin/IGF-1 receptor deficiency protects against skin inflammation : 	PMC4789495
26519530	10.4049/jimmunol.1501237	Myeloid cell-restricted insulin/IGF-1 receptor deficiency protects against skin inflammation : 	PMC4789495
37075752	10.1016/j.cmet.2023.03.019	Nutrient-sensing AgRP neurons relay control of liver autophagy during energy deprivation : 	PMC10173804
37086482	10.1093/brain/awad136	SARM1 deletion delays cerebellar but not spinal cord degeneration in an enhanced mouse model ofSPG7deficiency : 	
37118362	10.1038/s43587-021-00159-8	Mendelian randomization of genetically independent aging phenotypes identifies LPA and VCAM1 as biological targets for human aging : 	
37118362	10.1038/s43587-021-00159-8	Mendelian randomization of genetically independent aging phenotypes identifies LPA and VCAM1 as biological targets for human aging : 	
37115156	10.1083/jcb.202211039	Parallel phospholipid transfer by Vps13 and Atg2 determines autophagosome biogenesis dynamics : 	PMC10148235
37116497	10.1016/j.molcel.2023.03.027	Modular antibodies reveal DNA damage-induced mono-ADP-ribosylation as a second wave of PARP1 signaling : 	PMC10205078
37056370	10.1016/j.crmeth.2023.100433	A single-copy knockin translating ribosome immunoprecipitation toolkit for tissue-specific profiling of actively translated mRNAs in C. elegans : 	PMC10088236
37045843	10.1038/s41467-023-37494-w	The RNA-binding protein landscapes differ between mammalian organs and cultured cells : 	PMC10097726
37046086	10.1038/s41586-023-05922-y	Ageing-associated changes in transcriptional elongation influence longevity : 	PMC10132977
37013901	10.1016/j.gim.2023.100836	Biallelic variants in CRIPT cause a Rothmund-Thomson-like syndrome with increased cellular senescence : 	
37002921	10.1016/j.celrep.2023.112332	The mitochondrial protease OMA1 acts as a metabolic safeguard upon nuclear DNA damage : 	
15882624	10.1016/j.cell.2005.02.029	Polycomb Group Protein Ezh2 Controls Actin Polymerization and Cell Signaling : 	
17707231	10.1016/j.molcel.2007.06.026	Methylation of a Histone Mimic within the Histone Methyltransferase G9a Regulates Protein Complex Assembly : 	
21068722	10.1038/nature09589	Suppression of inflammation by a synthetic histone mimic : 	PMC5415086
22412156	10.1084/jem.20112343	Histone H3 lysine 9 di-methylation as an epigenetic signature of the interferon response : 	PMC3328357
22419161	10.1038/nature10892	Suppression of the antiviral response by an influenza histone mimic : 	PMC3598589
36807795	10.1007/978-1-0716-2922-2_16	Studying Mitochondrial Nucleic Acid Synthesis Utilizing Intact Isolated Mitochondria : 	
36812323	10.1126/sciadv.ade8137	Reduced insulin signaling in neurons induces sex-specific health benefits : 	PMC9946356
36827974	10.1016/j.cell.2023.01.034	Cell lineage-specific mitochondrial resilience during mammalian organogenesis : 	
36828575		Nonlethal Blood Sampling from the Killifish Nothobranchius furzeri : 	
36828576		Micro-CT Analysis of Fat in the Killifish Nothobranchius furzeri : 	
36869049		The dynamic nature of netrin-1 and the structural basis for glycosaminoglycan fragment-induced filament formation  : 	PMC9984387
36755289		Heterogeneous effects of individual high-fat diet compositions on phenotype, metabolic outcome, and hepatic proteome signature in BL/6 male mice : 	PMC9909936
25673412	10.1038/nature14132	New genetic loci link adipose and insulin biology to body fat distribution : 	PMC4338562
		Hypoxia promotes osteogenesis via regulation of the mito-nuclear communication : 	
35398599	10.1016/j.jmoldx.2022.02.006	Unraveling Structural Rearrangements of the CFH Gene Cluster in Atypical Hemolytic Uremic Syndrome Patients Using Molecular Combing and Long-Fragment Targeted Sequencing : 	
35398599	10.1016/j.jmoldx.2022.02.006	Unraveling Structural Rearrangements of the CFH Gene Cluster in Atypical Hemolytic Uremic Syndrome Patients Using Molecular Combing and Long-Fragment Targeted Sequencing : 	
35914813		RNA-sequencing of single cholangiocyte-derived organoids reveals high organoid-to organoid variability  : 	PMC9348635
36752501	10.1093/rheumatology/kead068	A novel TNFRSF1A mutation associated with TNF-receptor-associated periodic syndrome and its metabolic signature : 	
36622366		Dual inhibition of HSF1 and DYRK2 impedes cancer progression  : 	PMC9894012
36757831	10.1093/brain/awad039	The clinical and genetic spectrum of autosomal-recessiveTOR1A-related disorders : 	PMC10393417
36346827	10.1158/2643-3230.BCD-22-0007	Distinct genetically-determined origins of Myd88/Bcl2-driven aggressive lymphoma rationalize targeted therapeutic intervention strategies : 	PMC9816818
36629253	10.1093/nar/gkac1233	Translation initiation of leaderless and polycistronic transcripts in mammalian mitochondria : 	PMC9881170
36630509	10.1126/sciadv.add2743	Convergent genomics of longevity in rockfishes highlights the genetics of human life span variation : 	PMC9833670
36658222	10.1038/s41556-022-01071-y	Mitochondria regulate intracellular coenzyme Q transport and ferroptotic resistance via STARD7 : 	PMC9928583
36652907	10.1016/j.xcrm.2022.100897	Circulating uridine dynamically and adaptively regulates food intake in humans : 	PMC9873946
36669862		Sequencing the Immunoglobulin Heavy-Chain Locus (IgH) in Turquoise Killifish ( Nothobranchius furzeri) : 	
36685284	10.3389/fmolb.2022.1067296	Nicotinamide as potential biomarker for Alzheimer’s disease: A translational study based on metabolomics : 	PMC9853457
36690850	10.1038/s41556-022-01074-9	Small heat shock proteins operate as molecular chaperones in the mitochondrial intermembrane space : 	PMC10014586
36670288	10.1007/s00395-023-00977-4	Monoamine oxidase A-dependent ROS formation modulates human cardiomyocyte differentiation through AKT and WNT activation : 	PMC9859871
34835991	10.3390/nu13113735	Brain-Restricted Inhibition of IL-6 Trans-Signaling Mildly Affects Metabolic Consequences of Maternal Obesity in Male Offspring : 	PMC8618896
37118503	10.1038/s43587-022-00275-z	Decreased spliceosome fidelity and egl-8 intron retention inhibit mTORC1 signaling to promote longevity : 	PMC10154236
	10.1101/2022.12.10.519872	Comprehensive Evaluation of Rapamycin’s Specificity as an mTOR Inhibitor : 	
	10.1101/2022.11.06.515351	Malonyl-CoA is an ancient physiological ATP-competitive mTORC1 inhibitor : 	
36599349	10.1016/j.cell.2022.11.001	Hallmarks of aging: An expanding universe : 	
36596788	10.1038/s41467-022-35684-6	Human mitochondria require mtRF1 for translation termination at non-canonical stop codons : 	PMC9810596
36460578	10.1016/S2589-7500(22)00187-X	Identifying and visualising multimorbidity and comorbidity patterns in patients in the English National Health Service: a population-based study : 	
36460578	10.1016/S2589-7500(22)00187-X	Identifying and visualising multimorbidity and comorbidity patterns in patients in the English National Health Service: a population-based study : 	
36540942	10.1021/acs.jmedchem.2c01092	Chemical Blockage of the Mitochondrial Rhomboid Protease PARL by Novel Ketoamide Inhibitors Reveals Its Role in PINK1/Parkin-Dependent Mitophagy : 	PMC9841525
36356831	10.1016/j.molmet.2022.101626	NIK/MAP3K14 in hepatocytes orchestrates NASH to hepatocellular carcinoma progression via JAK2/STAT5 inhibition : 	PMC9676392
36356831	10.1016/j.molmet.2022.101626	NIK/MAP3K14 in hepatocytes orchestrates NASH to hepatocellular carcinoma progression via JAK2/STAT5 inhibition : 	PMC9676392
36325910	10.1161/CIRCULATIONAHA.121.058615	Targeting of Scavenger Receptors Stabilin-1 and Stabilin-2 Ameliorates Atherosclerosis by a Plasma Proteome Switch Mediating Monocyte/Macrophage Suppression : 	
36515834	10.1007/978-1-0716-2891-1_9	Immunoprecipitation Using Mono-ADP-Ribosylation-Specific Antibodies : 	
36496412	10.1186/s12935-022-02800-x	Lyve-1 deficiency enhances the hepatic immune microenvironment entailing altered susceptibility to melanoma liver metastasis : 	PMC9741792
36476872	10.1016/j.celrep.2022.111766	Hippo-released WWC1 facilitates AMPA receptor regulatory complexes for hippocampal learning : 	
37118497	10.1038/s43587-022-00278-w	Long-lasting geroprotection from brief rapamycin treatment in early adulthood by persistently increased intestinal autophagy : 	PMC10154223
37118538	10.1038/s43587-022-00308-7	Sexual identity of enterocytes regulates autophagy to determine intestinal health, lifespan and responses to rapamycin : 	PMC10154239
36095209	10.1073/pnas.2122969119	The TOR complex controls ATP levels to regulate actin cytoskeleton dynamics in Arabidopsis : 	PMC9499549
36129767	10.1091/mbc.E21-10-0499	The [PSI+] prion modulates cytochrome c oxidase deficiency caused by deletion of COX12 : 	PMC9727813
36129767	10.1091/mbc.E21-10-0499	The [PSI+] prion modulates cytochrome c oxidase deficiency caused by deletion of COX12 : 	PMC9727813
36278281	10.15252/embj.2022111239	Hypoxia promotes osteogenesis by facilitating acetyl-CoA-mediated mitochondrial-nuclear communication : 	PMC9713713
		Substrate recognition by the AAA plus chaperone ClpB : 	
21115528	10.1098/rstb.2010.0284	Genomics of human longevity : 	PMC3001312
21418511	10.1111/j.1474-9726.2011.00705.x	Genome-wide association study identifies a single major locus contributing to survival into old age; the APOE locus revisited : 	PMC3193372
21878436	10.1093/hmg/ddr389	A genome-wide association study identifies a region at chromosome 12 as a potential susceptibility locus for restenosis after percutaneous coronary intervention : 	PMC3209827
22113349	10.1007/s11357-011-9340-3	Gene set analysis of GWAS data for human longevity highlights the relevance of the insulin/IGF-1 signaling and telomere maintenance pathways : 	PMC3543749
22189269	10.1038/ejhg.2011.231	How to deal with the early GWAS data when imputing and combining different arrays is necessary : 	PMC3330212
22777128		The place of genetics in ageing research : 	
22247756	10.1371/journal.pone.0027759	Transcriptional profiling of human familial longevity indicates a role for ASF1A and IL7R : 	PMC3256132
